epoch,mAP@50,mAP
001,0.030,0.014
002,0.110,0.062
003,0.172,0.102
004,0.230,0.142
005,0.264,0.166
006,0.289,0.184
007,0.304,0.196
008,0.315,0.203
009,0.321,0.208
010,0.327,0.212
011,0.332,0.215
012,0.337,0.220
013,0.342,0.223
014,0.346,0.226
015,0.350,0.229
016,0.355,0.233
017,0.359,0.237
018,0.363,0.240
019,0.368,0.244
020,0.372,0.247
021,0.377,0.250
022,0.380,0.252
023,0.384,0.255
024,0.387,0.258
025,0.391,0.260
026,0.394,0.263
027,0.398,0.265
028,0.401,0.267
029,0.404,0.269
030,0.406,0.271
031,0.408,0.273
032,0.410,0.275
033,0.413,0.276
034,0.414,0.278
035,0.417,0.280
036,0.419,0.281
037,0.420,0.282
038,0.422,0.283
039,0.423,0.284
040,0.425,0.286
041,0.426,0.287
042,0.427,0.288
043,0.429,0.289
044,0.431,0.289
045,0.431,0.290
046,0.432,0.291
047,0.433,0.292
048,0.434,0.292
049,0.434,0.293
050,0.436,0.294
051,0.437,0.295
052,0.438,0.295
053,0.439,0.296
054,0.439,0.296
055,0.440,0.297
056,0.439,0.297
057,0.440,0.298
058,0.441,0.298
059,0.442,0.300
060,0.443,0.300
061,0.444,0.300
062,0.445,0.301
063,0.445,0.302
064,0.446,0.303
065,0.447,0.303
066,0.447,0.304
067,0.448,0.304
068,0.448,0.305
069,0.449,0.305
070,0.449,0.306
071,0.450,0.306
072,0.451,0.307
073,0.452,0.308
074,0.452,0.308
075,0.452,0.308
076,0.452,0.308
077,0.452,0.308
078,0.453,0.308
079,0.454,0.309
080,0.454,0.310
081,0.454,0.310
082,0.454,0.310
083,0.454,0.310
084,0.455,0.311
085,0.456,0.311
086,0.456,0.312
087,0.457,0.312
088,0.457,0.312
089,0.458,0.312
090,0.459,0.314
091,0.459,0.314
092,0.459,0.314
093,0.459,0.315
094,0.459,0.315
095,0.459,0.315
096,0.459,0.315
097,0.460,0.315
098,0.460,0.315
099,0.460,0.315
100,0.460,0.315
101,0.460,0.315
102,0.460,0.315
103,0.460,0.315
104,0.460,0.316
105,0.461,0.316
106,0.462,0.316
107,0.461,0.317
108,0.462,0.317
109,0.462,0.317
110,0.462,0.317
111,0.463,0.317
112,0.463,0.317
113,0.464,0.318
114,0.463,0.318
115,0.464,0.318
116,0.464,0.318
117,0.464,0.318
118,0.464,0.318
119,0.465,0.318
120,0.465,0.318
121,0.465,0.319
122,0.466,0.319
123,0.466,0.320
124,0.466,0.320
125,0.466,0.320
126,0.466,0.320
127,0.467,0.321
128,0.467,0.321
129,0.467,0.321
130,0.467,0.321
131,0.467,0.321
132,0.467,0.320
133,0.467,0.321
134,0.467,0.321
135,0.468,0.321
136,0.469,0.322
137,0.469,0.322
138,0.468,0.322
139,0.468,0.322
140,0.468,0.322
141,0.468,0.322
142,0.469,0.323
143,0.469,0.323
144,0.469,0.323
145,0.470,0.323
146,0.470,0.324
147,0.470,0.323
148,0.470,0.324
149,0.470,0.324
150,0.470,0.324
151,0.471,0.324
152,0.471,0.325
153,0.471,0.324
154,0.471,0.325
155,0.471,0.325
156,0.471,0.325
157,0.472,0.325
158,0.471,0.325
159,0.471,0.324
160,0.472,0.325
161,0.472,0.325
162,0.473,0.326
163,0.473,0.325
164,0.473,0.325
165,0.473,0.325
166,0.473,0.325
167,0.473,0.326
168,0.474,0.326
169,0.474,0.326
170,0.474,0.325
171,0.474,0.325
172,0.474,0.326
173,0.474,0.326
174,0.474,0.326
175,0.474,0.326
176,0.474,0.326
177,0.475,0.326
178,0.475,0.326
179,0.475,0.326
180,0.476,0.326
181,0.475,0.326
182,0.475,0.326
183,0.475,0.327
184,0.476,0.327
185,0.476,0.327
186,0.476,0.327
187,0.477,0.327
188,0.477,0.328
189,0.477,0.328
190,0.477,0.328
191,0.477,0.328
192,0.478,0.328
193,0.478,0.329
194,0.479,0.329
195,0.479,0.329
196,0.479,0.329
197,0.479,0.329
198,0.478,0.329
199,0.478,0.329
200,0.479,0.329
201,0.479,0.329
202,0.479,0.329
203,0.479,0.329
204,0.480,0.330
205,0.480,0.330
206,0.480,0.330
207,0.480,0.330
208,0.480,0.331
209,0.480,0.331
210,0.481,0.331
211,0.481,0.331
212,0.481,0.331
213,0.481,0.331
214,0.481,0.331
215,0.481,0.331
216,0.481,0.331
217,0.481,0.332
218,0.481,0.331
219,0.482,0.332
220,0.482,0.332
221,0.482,0.332
222,0.482,0.332
223,0.483,0.333
224,0.483,0.333
225,0.483,0.333
226,0.483,0.333
227,0.482,0.332
228,0.482,0.332
229,0.482,0.333
230,0.482,0.333
231,0.482,0.333
232,0.483,0.333
233,0.483,0.333
234,0.483,0.333
235,0.483,0.333
236,0.484,0.333
237,0.484,0.333
238,0.485,0.334
239,0.485,0.334
240,0.486,0.335
241,0.486,0.335
242,0.486,0.335
243,0.485,0.334
244,0.485,0.334
245,0.486,0.335
246,0.486,0.335
247,0.487,0.335
248,0.486,0.335
249,0.487,0.335
250,0.487,0.336
251,0.487,0.336
252,0.486,0.335
253,0.487,0.336
254,0.487,0.336
255,0.487,0.336
256,0.488,0.336
257,0.488,0.336
258,0.488,0.336
259,0.488,0.336
260,0.488,0.337
261,0.488,0.336
262,0.489,0.337
263,0.489,0.336
264,0.488,0.336
265,0.489,0.337
266,0.489,0.337
267,0.488,0.337
268,0.488,0.336
269,0.489,0.337
270,0.490,0.338
271,0.490,0.337
272,0.489,0.337
273,0.490,0.338
274,0.489,0.337
275,0.489,0.338
276,0.489,0.338
277,0.490,0.338
278,0.491,0.338
279,0.491,0.338
280,0.490,0.338
281,0.491,0.338
282,0.491,0.339
283,0.491,0.339
284,0.491,0.339
285,0.491,0.339
286,0.492,0.339
287,0.492,0.339
288,0.492,0.340
289,0.492,0.340
290,0.493,0.340
291,0.492,0.340
292,0.493,0.340
293,0.492,0.340
294,0.492,0.340
295,0.493,0.340
296,0.493,0.341
297,0.493,0.341
298,0.493,0.341
299,0.493,0.341
300,0.494,0.341
301,0.494,0.341
302,0.495,0.341
303,0.495,0.342
304,0.495,0.342
305,0.495,0.342
306,0.495,0.341
307,0.495,0.342
308,0.495,0.342
309,0.496,0.342
310,0.496,0.342
311,0.496,0.343
312,0.496,0.342
313,0.496,0.342
314,0.496,0.342
315,0.496,0.342
316,0.496,0.343
317,0.496,0.343
318,0.497,0.344
319,0.497,0.344
320,0.498,0.344
321,0.497,0.344
322,0.497,0.344
323,0.498,0.345
324,0.498,0.345
325,0.498,0.345
326,0.497,0.345
327,0.498,0.344
328,0.498,0.344
329,0.498,0.344
330,0.498,0.345
331,0.498,0.345
332,0.498,0.345
333,0.497,0.345
334,0.498,0.345
335,0.498,0.345
336,0.499,0.346
337,0.499,0.345
338,0.499,0.345
339,0.499,0.346
340,0.499,0.346
341,0.499,0.346
342,0.499,0.346
343,0.499,0.346
344,0.498,0.345
345,0.499,0.346
346,0.500,0.346
347,0.500,0.346
348,0.499,0.346
349,0.500,0.346
350,0.500,0.346
351,0.500,0.346
352,0.500,0.347
353,0.500,0.347
354,0.499,0.346
355,0.500,0.347
356,0.500,0.346
357,0.500,0.347
358,0.500,0.347
359,0.500,0.346
360,0.500,0.347
361,0.500,0.347
362,0.500,0.347
363,0.500,0.348
364,0.501,0.347
365,0.500,0.348
366,0.501,0.348
367,0.501,0.348
368,0.501,0.349
369,0.502,0.349
370,0.502,0.348
371,0.502,0.348
372,0.502,0.349
373,0.503,0.349
374,0.502,0.349
375,0.503,0.349
376,0.503,0.350
377,0.504,0.350
378,0.505,0.351
379,0.504,0.351
380,0.504,0.350
381,0.505,0.350
382,0.505,0.350
383,0.505,0.350
384,0.505,0.350
385,0.505,0.351
386,0.505,0.351
387,0.505,0.351
388,0.505,0.351
389,0.506,0.351
390,0.506,0.352
391,0.506,0.352
392,0.506,0.352
393,0.506,0.352
394,0.506,0.351
395,0.506,0.352
396,0.507,0.352
397,0.507,0.352
398,0.507,0.353
399,0.507,0.353
400,0.507,0.352
401,0.508,0.353
402,0.508,0.353
403,0.507,0.352
404,0.507,0.352
405,0.508,0.352
406,0.508,0.353
407,0.508,0.353
408,0.508,0.352
409,0.508,0.352
410,0.508,0.352
411,0.509,0.352
412,0.509,0.353
413,0.508,0.353
414,0.509,0.353
415,0.509,0.353
416,0.510,0.353
417,0.509,0.353
418,0.510,0.353
419,0.510,0.354
420,0.511,0.354
421,0.511,0.354
422,0.511,0.355
423,0.511,0.355
424,0.511,0.355
425,0.512,0.355
426,0.511,0.355
427,0.511,0.355
428,0.512,0.356
429,0.513,0.355
430,0.512,0.356
431,0.513,0.356
432,0.513,0.356
433,0.513,0.356
434,0.513,0.356
435,0.513,0.356
436,0.514,0.357
437,0.514,0.357
438,0.515,0.357
439,0.514,0.357
440,0.514,0.357
441,0.514,0.357
442,0.514,0.357
443,0.515,0.358
444,0.516,0.358
445,0.516,0.359
446,0.516,0.359
447,0.516,0.359
448,0.516,0.359
449,0.516,0.359
450,0.517,0.359
451,0.517,0.359
452,0.517,0.359
453,0.517,0.359
454,0.516,0.359
455,0.517,0.359
456,0.517,0.359
457,0.518,0.359
458,0.518,0.359
459,0.518,0.360
460,0.518,0.360
461,0.518,0.360
462,0.518,0.360
463,0.518,0.360
464,0.518,0.360
465,0.519,0.361
466,0.519,0.361
467,0.519,0.361
468,0.519,0.361
469,0.519,0.361
470,0.519,0.361
471,0.519,0.361
472,0.520,0.362
473,0.521,0.362
474,0.521,0.362
475,0.521,0.362
476,0.521,0.362
477,0.521,0.362
478,0.521,0.362
479,0.521,0.362
480,0.521,0.363
481,0.522,0.363
482,0.522,0.363
483,0.522,0.363
484,0.523,0.364
485,0.523,0.364
486,0.523,0.363
487,0.523,0.364
488,0.523,0.364
489,0.523,0.364
490,0.523,0.363
491,0.523,0.364
492,0.524,0.365
493,0.524,0.365
494,0.524,0.365
495,0.525,0.366
496,0.525,0.366
497,0.526,0.367
498,0.526,0.367
499,0.527,0.367
500,0.527,0.368
